1;,4;,1;,16;,5
2;,2;,3;,4;,4
3;,5;,3;,16;,1
4;,5;,3;,8;,2
5;,1;,5;,16;,4
6;,2;,2;,16;,5
7;,1;,4;,4;,5
8;,5;,1;,16;,1
9;,2;,5;,16;,4
10;,4;,3;,8;,5
11;,5;,5;,8;,5
12;,5;,4;,8;,5
13;,2;,3;,16;,1
14;,3;,4;,16;,1
15;,5;,4;,8;,3
16;,2;,2;,16;,2
17;,3;,3;,16;,2
18;,5;,1;,4;,2
19;,5;,3;,16;,4
20;,5;,3;,16;,4
21;,5;,2;,16;,3
22;,3;,3;,16;,4
23;,5;,3;,4;,5
24;,2;,2;,8;,1
25;,5;,2;,16;,4
26;,1;,2;,4;,2
27;,5;,5;,8;,1
28;,1;,3;,16;,5
29;,5;,1;,4;,1
30;,5;,5;,4;,4
31;,2;,3;,8;,2
32;,3;,3;,8;,1
33;,2;,1;,16;,2
34;,5;,1;,16;,3
35;,1;,2;,4;,2
36;,3;,3;,4;,3
37;,1;,4;,4;,3
38;,4;,1;,4;,2
39;,4;,3;,8;,5
40;,1;,5;,16;,4
41;,5;,5;,8;,5
42;,1;,1;,8;,3
43;,4;,5;,8;,1
44;,2;,2;,16;,2
45;,2;,3;,8;,1
46;,2;,5;,16;,4
47;,3;,3;,4;,4
48;,1;,1;,4;,2
49;,1;,2;,8;,2
50;,4;,3;,16;,5
51;,5;,5;,4;,5
52;,2;,5;,8;,5
53;,5;,3;,4;,3
54;,2;,2;,4;,4
55;,5;,3;,16;,5
56;,3;,3;,4;,2
57;,1;,3;,8;,1
58;,5;,2;,8;,2
59;,5;,1;,4;,4
60;,3;,1;,4;,4
61;,5;,1;,8;,4
62;,5;,5;,8;,1
63;,4;,5;,4;,1
64;,4;,5;,16;,3
65;,5;,2;,16;,2
66;,3;,2;,16;,5
67;,2;,4;,8;,2
68;,5;,5;,4;,5
69;,3;,2;,4;,4
70;,2;,4;,4;,1
71;,1;,2;,8;,4
72;,3;,1;,4;,3
73;,2;,5;,8;,3
74;,5;,1;,4;,4
75;,4;,4;,16;,3
76;,3;,5;,16;,2
77;,1;,2;,8;,5
78;,1;,3;,8;,5
