PurchaseID,FunctionID,LoanItemID,EmployeeID,,Concat
19,1,434,2,,"19,1,434,2"
20,1,434,1,,"20,1,434,1"
21,1,434,3,,"21,1,434,3"
22,1,434,5,,"22,1,434,5"
23,1,427,1,,"23,1,427,1"
24,1,3,1,,"24,1,3,1"
25,1,3,3,,"25,1,3,3"
26,1,13,1,,"26,1,13,1"
27,1,99,1,,"27,1,99,1"
28,1,99,4,,"28,1,99,4"
29,1,99,3,,"29,1,99,3"
30,1,99,4,,"30,1,99,4"
31,1,99,3,,"31,1,99,3"
32,1,413,5,,"32,1,413,5"
33,1,17,2,,"33,1,17,2"
34,1,17,4,,"34,1,17,4"
35,1,17,3,,"35,1,17,3"
36,1,190,3,,"36,1,190,3"
37,1,190,5,,"37,1,190,5"
38,1,190,1,,"38,1,190,1"
39,1,90,3,,"39,1,90,3"
40,1,90,2,,"40,1,90,2"
41,1,13,3,,"41,1,13,3"
42,1,13,3,,"42,1,13,3"
43,1,3,2,,"43,1,3,2"
44,1,3,3,,"44,1,3,3"
45,1,3,4,,"45,1,3,4"
46,1,368,5,,"46,1,368,5"
47,1,368,3,,"47,1,368,3"
48,1,368,1,,"48,1,368,1"
49,1,182,1,,"49,1,182,1"
50,1,182,3,,"50,1,182,3"
51,1,260,1,,"51,1,260,1"
52,1,260,2,,"52,1,260,2"
53,1,260,2,,"53,1,260,2"
54,1,260,3,,"54,1,260,3"
55,1,260,4,,"55,1,260,4"
56,1,260,2,,"56,1,260,2"
57,1,260,1,,"57,1,260,1"
58,1,368,3,,"58,1,368,3"
59,1,368,4,,"59,1,368,4"
60,1,368,5,,"60,1,368,5"
61,1,368,5,,"61,1,368,5"
62,1,368,3,,"62,1,368,3"
63,1,368,5,,"63,1,368,5"
64,1,368,1,,"64,1,368,1"
65,1,368,3,,"65,1,368,3"
66,1,3,1,,"66,1,3,1"
67,1,3,2,,"67,1,3,2"
68,1,3,4,,"68,1,3,4"
69,1,3,3,,"69,1,3,3"
70,1,3,1,,"70,1,3,1"
71,1,3,4,,"71,1,3,4"
72,1,3,3,,"72,1,3,3"
73,1,348,3,,"73,1,348,3"
74,1,348,4,,"74,1,348,4"
75,1,348,1,,"75,1,348,1"
76,1,348,5,,"76,1,348,5"
77,1,348,4,,"77,1,348,4"
78,1,348,2,,"78,1,348,2"
79,1,348,1,,"79,1,348,1"
80,1,348,3,,"80,1,348,3"
81,1,348,1,,"81,1,348,1"
82,1,348,5,,"82,1,348,5"
83,1,434,5,,"83,1,434,5"
84,1,434,5,,"84,1,434,5"
85,1,434,2,,"85,1,434,2"
86,1,434,5,,"86,1,434,5"
87,1,334,3,,"87,1,334,3"
88,1,334,2,,"88,1,334,2"
89,1,334,1,,"89,1,334,1"
