PurchaseID,FunctionID,LoanItemID,EmployeeID,,Concat
1,4,306,20,,"1,4,306,20"
2,4,68,20,,"2,4,68,20"
3,4,69,19,,"3,4,69,19"
4,4,212,17,,"4,4,212,17"
5,4,437,20,,"5,4,437,20"
6,4,110,16,,"6,4,110,16"
7,4,346,17,,"7,4,346,17"
8,4,2,17,,"8,4,2,17"
9,4,156,20,,"9,4,156,20"
10,4,59,16,,"10,4,59,16"
11,4,379,20,,"11,4,379,20"
12,4,252,19,,"12,4,252,19"
13,4,80,20,,"13,4,80,20"
14,4,1,16,,"14,4,1,16"
15,4,34,18,,"15,4,34,18"
16,4,379,19,,"16,4,379,19"
17,4,34,19,,"17,4,34,19"
18,4,461,20,,"18,4,461,20"
19,4,319,19,,"19,4,319,19"
20,4,336,16,,"20,4,336,16"
21,4,462,17,,"21,4,462,17"
22,4,348,17,,"22,4,348,17"
23,4,138,16,,"23,4,138,16"
24,4,63,19,,"24,4,63,19"
25,4,80,19,,"25,4,80,19"
26,4,34,20,,"26,4,34,20"
27,4,14,19,,"27,4,14,19"
28,4,405,20,,"28,4,405,20"
29,4,486,19,,"29,4,486,19"
30,4,396,18,,"30,4,396,18"
31,4,86,19,,"31,4,86,19"
32,4,380,19,,"32,4,380,19"
33,4,462,20,,"33,4,462,20"
34,4,388,18,,"34,4,388,18"
35,4,364,16,,"35,4,364,16"
36,4,17,19,,"36,4,17,19"
37,4,128,17,,"37,4,128,17"
38,4,78,17,,"38,4,78,17"
39,4,376,18,,"39,4,376,18"
40,4,303,17,,"40,4,303,17"
41,4,361,19,,"41,4,361,19"
42,4,233,19,,"42,4,233,19"
43,4,432,19,,"43,4,432,19"
44,4,373,18,,"44,4,373,18"
45,4,347,19,,"45,4,347,19"
46,4,478,17,,"46,4,478,17"
47,4,43,19,,"47,4,43,19"
48,4,160,20,,"48,4,160,20"
49,4,274,18,,"49,4,274,18"
50,4,38,20,,"50,4,38,20"
51,4,340,18,,"51,4,340,18"
52,4,330,17,,"52,4,330,17"
53,4,110,17,,"53,4,110,17"
54,4,123,18,,"54,4,123,18"
55,4,302,18,,"55,4,302,18"
56,4,127,16,,"56,4,127,16"
57,4,306,20,,"57,4,306,20"
58,4,417,18,,"58,4,417,18"
59,4,10,17,,"59,4,10,17"
60,4,171,17,,"60,4,171,17"
61,4,197,17,,"61,4,197,17"
62,4,213,17,,"62,4,213,17"
63,4,396,18,,"63,4,396,18"
64,4,9,17,,"64,4,9,17"
65,4,190,17,,"65,4,190,17"
66,4,51,17,,"66,4,51,17"
67,4,442,16,,"67,4,442,16"
68,4,173,18,,"68,4,173,18"
69,4,53,18,,"69,4,53,18"
70,4,301,18,,"70,4,301,18"
71,4,409,19,,"71,4,409,19"
72,4,306,18,,"72,4,306,18"
73,4,138,20,,"73,4,138,20"
74,4,274,17,,"74,4,274,17"
75,4,285,18,,"75,4,285,18"
76,4,440,17,,"76,4,440,17"
77,4,30,19,,"77,4,30,19"
78,4,50,18,,"78,4,50,18"
79,4,122,16,,"79,4,122,16"
80,4,363,17,,"80,4,363,17"
81,4,273,17,,"81,4,273,17"
82,4,383,20,,"82,4,383,20"
83,4,347,18,,"83,4,347,18"
84,4,332,20,,"84,4,332,20"
85,4,355,20,,"85,4,355,20"
86,4,167,16,,"86,4,167,16"
87,4,11,20,,"87,4,11,20"
88,4,128,18,,"88,4,128,18"
89,4,14,17,,"89,4,14,17"
90,4,93,19,,"90,4,93,19"
91,4,3,20,,"91,4,3,20"
92,4,198,19,,"92,4,198,19"
93,4,128,18,,"93,4,128,18"
94,4,324,20,,"94,4,324,20"
95,4,28,18,,"95,4,28,18"
96,4,347,18,,"96,4,347,18"
97,4,109,17,,"97,4,109,17"
98,4,452,20,,"98,4,452,20"
99,4,110,20,,"99,4,110,20"
100,4,363,18,,"100,4,363,18"
101,4,81,19,,"101,4,81,19"
102,4,249,16,,"102,4,249,16"
103,4,208,16,,"103,4,208,16"
104,4,76,20,,"104,4,76,20"
105,4,218,19,,"105,4,218,19"
106,4,437,20,,"106,4,437,20"
107,4,324,18,,"107,4,324,18"
108,4,219,19,,"108,4,219,19"
109,4,61,16,,"109,4,61,16"
110,4,348,20,,"110,4,348,20"
111,4,77,17,,"111,4,77,17"
112,4,359,20,,"112,4,359,20"
113,4,171,16,,"113,4,171,16"
114,4,17,16,,"114,4,17,16"
115,4,86,19,,"115,4,86,19"
116,4,93,20,,"116,4,93,20"
117,4,208,17,,"117,4,208,17"
118,4,236,17,,"118,4,236,17"
119,4,110,17,,"119,4,110,17"
260,4,270,17,,"260,4,270,17"
261,4,76,19,,"261,4,76,19"
262,4,110,20,,"262,4,110,20"
263,4,308,18,,"263,4,308,18"
264,4,393,17,,"264,4,393,17"
265,4,163,20,,"265,4,163,20"
266,4,134,18,,"266,4,134,18"
267,4,217,18,,"267,4,217,18"
268,4,38,20,,"268,4,38,20"
269,4,496,19,,"269,4,496,19"
270,4,36,16,,"270,4,36,16"
271,4,278,18,,"271,4,278,18"
272,4,268,20,,"272,4,268,20"
273,4,423,16,,"273,4,423,16"
274,4,340,19,,"274,4,340,19"
275,4,107,18,,"275,4,107,18"
276,4,417,18,,"276,4,417,18"
277,4,376,19,,"277,4,376,19"
278,4,172,20,,"278,4,172,20"
279,4,272,17,,"279,4,272,17"
280,4,381,19,,"280,4,381,19"
281,4,186,17,,"281,4,186,17"
282,4,465,17,,"282,4,465,17"
283,4,144,19,,"283,4,144,19"
284,4,77,16,,"284,4,77,16"
285,4,285,20,,"285,4,285,20"
286,4,249,17,,"286,4,249,17"
287,4,266,17,,"287,4,266,17"
288,4,330,19,,"288,4,330,19"
289,4,454,20,,"289,4,454,20"
290,4,469,17,,"290,4,469,17"
291,4,128,16,,"291,4,128,16"
292,4,1,17,,"292,4,1,17"
293,4,234,19,,"293,4,234,19"
294,4,416,18,,"294,4,416,18"
295,4,482,17,,"295,4,482,17"
296,4,56,20,,"296,4,56,20"
297,4,110,18,,"297,4,110,18"
298,4,169,17,,"298,4,169,17"
299,4,278,18,,"299,4,278,18"
300,4,33,20,,"300,4,33,20"
301,4,70,18,,"301,4,70,18"
302,4,381,18,,"302,4,381,18"
303,4,153,19,,"303,4,153,19"
304,4,259,19,,"304,4,259,19"
305,4,336,20,,"305,4,336,20"
306,4,122,19,,"306,4,122,19"
307,4,19,17,,"307,4,19,17"
308,4,110,18,,"308,4,110,18"
309,4,247,16,,"309,4,247,16"
310,4,266,17,,"310,4,266,17"
311,4,257,17,,"311,4,257,17"
312,4,116,19,,"312,4,116,19"
313,4,33,18,,"313,4,33,18"
314,4,474,20,,"314,4,474,20"
315,4,443,16,,"315,4,443,16"
316,4,212,18,,"316,4,212,18"
317,4,348,17,,"317,4,348,17"
318,4,136,20,,"318,4,136,20"
319,4,225,17,,"319,4,225,17"
320,4,353,16,,"320,4,353,16"
321,4,468,20,,"321,4,468,20"
322,4,110,20,,"322,4,110,20"
323,4,274,17,,"323,4,274,17"
324,4,197,16,,"324,4,197,16"
325,4,439,19,,"325,4,439,19"
326,4,403,19,,"326,4,403,19"
327,4,164,19,,"327,4,164,19"
328,4,31,17,,"328,4,31,17"
329,4,472,18,,"329,4,472,18"
330,4,368,19,,"330,4,368,19"
331,4,349,18,,"331,4,349,18"
332,4,433,17,,"332,4,433,17"
333,4,318,18,,"333,4,318,18"
334,4,208,17,,"334,4,208,17"
335,4,134,20,,"335,4,134,20"
336,4,417,19,,"336,4,417,19"
337,4,157,19,,"337,4,157,19"
338,4,354,19,,"338,4,354,19"
339,4,472,20,,"339,4,472,20"
340,4,380,17,,"340,4,380,17"
