PurchaseID,FunctionID,LoanItemID,EmployeeID,,Concat
1,2,421,6,,"1,2,421,6"
2,2,421,6,,"2,2,421,6"
3,2,421,8,,"3,2,421,8"
4,2,421,10,,"4,2,421,10"
5,2,421,10,,"5,2,421,10"
6,2,421,10,,"6,2,421,10"
7,2,421,10,,"7,2,421,10"
8,2,421,6,,"8,2,421,6"
9,2,421,8,,"9,2,421,8"
10,2,421,7,,"10,2,421,7"
11,2,421,6,,"11,2,421,6"
12,2,421,9,,"12,2,421,9"
13,2,421,8,,"13,2,421,8"
14,2,421,6,,"14,2,421,6"
15,2,421,7,,"15,2,421,7"
16,2,205,8,,"16,2,205,8"
17,2,205,9,,"17,2,205,9"
18,2,205,6,,"18,2,205,6"
19,2,205,6,,"19,2,205,6"
20,2,205,10,,"20,2,205,10"
21,2,205,8,,"21,2,205,8"
22,2,205,10,,"22,2,205,10"
23,2,205,7,,"23,2,205,7"
24,2,205,7,,"24,2,205,7"
25,2,205,9,,"25,2,205,9"
26,2,205,6,,"26,2,205,6"
27,2,298,10,,"27,2,298,10"
28,2,298,10,,"28,2,298,10"
29,2,298,6,,"29,2,298,6"
30,2,298,9,,"30,2,298,9"
31,2,205,6,,"31,2,205,6"
32,2,205,7,,"32,2,205,7"
33,2,205,6,,"33,2,205,6"
34,2,102,6,,"34,2,102,6"
35,2,102,10,,"35,2,102,10"
36,2,102,10,,"36,2,102,10"
37,2,102,7,,"37,2,102,7"
38,2,102,9,,"38,2,102,9"
39,2,102,9,,"39,2,102,9"
40,2,102,7,,"40,2,102,7"
41,2,102,7,,"41,2,102,7"
42,2,102,8,,"42,2,102,8"
43,2,123,6,,"43,2,123,6"
44,2,123,10,,"44,2,123,10"
45,2,123,7,,"45,2,123,7"
46,2,123,8,,"46,2,123,8"
47,2,123,10,,"47,2,123,10"
48,2,123,6,,"48,2,123,6"
49,2,123,10,,"49,2,123,10"
50,2,123,6,,"50,2,123,6"
51,2,205,8,,"51,2,205,8"
52,2,298,8,,"52,2,298,8"
53,2,298,9,,"53,2,298,9"
54,2,298,9,,"54,2,298,9"
55,2,415,9,,"55,2,415,9"
56,2,415,9,,"56,2,415,9"
57,2,415,8,,"57,2,415,8"
58,2,1,8,,"58,2,1,8"
59,2,421,10,,"59,2,421,10"
60,2,421,9,,"60,2,421,9"
61,2,421,6,,"61,2,421,6"
62,2,421,10,,"62,2,421,10"
63,2,421,6,,"63,2,421,6"
64,2,421,6,,"64,2,421,6"
65,2,234,7,,"65,2,234,7"
66,2,234,7,,"66,2,234,7"
67,2,234,7,,"67,2,234,7"
68,2,384,8,,"68,2,384,8"
69,2,143,6,,"69,2,143,6"
70,2,143,6,,"70,2,143,6"
71,2,143,6,,"71,2,143,6"
72,2,143,8,,"72,2,143,8"
73,2,205,8,,"73,2,205,8"
74,2,295,6,,"74,2,295,6"
75,2,295,9,,"75,2,295,9"
76,2,295,8,,"76,2,295,8"
77,2,295,7,,"77,2,295,7"
78,2,295,6,,"78,2,295,6"
79,2,295,10,,"79,2,295,10"
80,2,295,8,,"80,2,295,8"
81,2,295,10,,"81,2,295,10"
82,2,295,6,,"82,2,295,6"
83,2,295,8,,"83,2,295,8"
84,2,295,6,,"84,2,295,6"
85,2,95,8,,"85,2,95,8"
86,2,95,8,,"86,2,95,8"
87,2,95,8,,"87,2,95,8"
88,2,95,10,,"88,2,95,10"
89,2,95,6,,"89,2,95,6"
