PurchaseID,FunctionID,LoanItemID,EmployeeID,,concat
1,5,87,21,,"1,5,87,21"
2,5,87,22,,"2,5,87,22"
3,5,87,22,,"3,5,87,22"
4,5,87,23,,"4,5,87,23"
5,5,87,21,,"5,5,87,21"
6,5,87,21,,"6,5,87,21"
7,5,218,22,,"7,5,218,22"
8,5,218,21,,"8,5,218,21"
9,5,218,25,,"9,5,218,25"
10,5,409,21,,"10,5,409,21"
11,5,409,21,,"11,5,409,21"
12,5,409,24,,"12,5,409,24"
13,5,409,22,,"13,5,409,22"
14,5,409,25,,"14,5,409,25"
15,5,409,21,,"15,5,409,21"
16,5,409,25,,"16,5,409,25"
17,5,409,23,,"17,5,409,23"
18,5,409,22,,"18,5,409,22"
19,5,258,25,,"19,5,258,25"
20,5,258,25,,"20,5,258,25"
21,5,258,24,,"21,5,258,24"
22,5,258,25,,"22,5,258,25"
23,5,258,25,,"23,5,258,25"
24,5,258,25,,"24,5,258,25"
25,5,258,23,,"25,5,258,23"
26,5,258,25,,"26,5,258,25"
27,5,258,21,,"27,5,258,21"
28,5,258,21,,"28,5,258,21"
29,5,258,22,,"29,5,258,22"
30,5,258,23,,"30,5,258,23"
31,5,258,25,,"31,5,258,25"
32,5,258,23,,"32,5,258,23"
33,5,258,22,,"33,5,258,22"
34,5,409,23,,"34,5,409,23"
35,5,409,24,,"35,5,409,24"
36,5,87,25,,"36,5,87,25"
37,5,146,22,,"37,5,146,22"
38,5,146,23,,"38,5,146,23"
39,5,146,23,,"39,5,146,23"
40,5,146,25,,"40,5,146,25"
41,5,146,24,,"41,5,146,24"
42,5,146,23,,"42,5,146,23"
43,5,146,24,,"43,5,146,24"
44,5,146,21,,"44,5,146,21"
45,5,146,22,,"45,5,146,22"
46,5,146,24,,"46,5,146,24"
47,5,146,22,,"47,5,146,22"
48,5,146,23,,"48,5,146,23"
49,5,146,24,,"49,5,146,24"
50,5,304,23,,"50,5,304,23"
51,5,304,22,,"51,5,304,22"
52,5,304,22,,"52,5,304,22"
53,5,304,25,,"53,5,304,25"
54,5,67,23,,"54,5,67,23"
55,5,304,25,,"55,5,304,25"
56,5,67,25,,"56,5,67,25"
57,5,304,25,,"57,5,304,25"
58,5,304,23,,"58,5,304,23"
59,5,304,24,,"59,5,304,24"
60,5,304,25,,"60,5,304,25"
61,5,304,23,,"61,5,304,23"
62,5,304,24,,"62,5,304,24"
63,5,304,23,,"63,5,304,23"
64,5,304,23,,"64,5,304,23"
65,5,304,25,,"65,5,304,25"
66,5,304,25,,"66,5,304,25"
67,5,182,24,,"67,5,182,24"
68,5,182,21,,"68,5,182,21"
69,5,182,22,,"69,5,182,22"
70,5,182,22,,"70,5,182,22"
71,5,182,21,,"71,5,182,21"
72,5,182,22,,"72,5,182,22"
73,5,182,21,,"73,5,182,21"
74,5,182,24,,"74,5,182,24"
75,5,67,25,,"75,5,67,25"
76,5,67,23,,"76,5,67,23"
77,5,67,23,,"77,5,67,23"
78,5,182,25,,"78,5,182,25"
79,5,182,23,,"79,5,182,23"
80,5,182,23,,"80,5,182,23"
81,5,182,22,,"81,5,182,22"
82,5,67,21,,"82,5,67,21"
83,5,67,24,,"83,5,67,24"
84,5,67,21,,"84,5,67,21"
85,5,67,22,,"85,5,67,22"
86,5,67,21,,"86,5,67,21"
87,5,67,24,,"87,5,67,24"
88,5,67,23,,"88,5,67,23"
89,5,67,23,,"89,5,67,23"
