ID,Brand,CPUrating,RAM,GPUrating,,Concat,,,,,,,,,,,
1,4,1,16,5,,"1,4,1,16,5",,,,,,,,,,,
2,2,3,4,4,,"2,2,3,4,4",,,,,,,,,,,
3,5,3,16,1,,"3,5,3,16,1",,,,,,,,,,,
4,5,3,8,2,,"4,5,3,8,2",,,,,,,,,,,
5,1,5,16,4,,"5,1,5,16,4",,,,,,,,,,,
6,2,2,16,5,,"6,2,2,16,5",,,,,,,,,,,
7,1,4,4,5,,"7,1,4,4,5",,,,,,,,,,,
8,5,1,16,1,,"8,5,1,16,1",,,,,,,,,,,
9,2,5,16,4,,"9,2,5,16,4",,,,,,,,,,,
10,4,3,8,5,,"10,4,3,8,5",,,,,,,,,,,
11,5,5,8,5,,"11,5,5,8,5",,,,,,,,,,,
12,5,4,8,5,,"12,5,4,8,5",,,,,,,,,,,
13,2,3,16,1,,"13,2,3,16,1",,,,,,,,,,,
14,3,4,16,1,,"14,3,4,16,1",,,,,,,,,,,
15,5,4,8,3,,"15,5,4,8,3",,,,,,,,,,,
16,2,2,16,2,,"16,2,2,16,2",,,,,,,,,,,
17,3,3,16,2,,"17,3,3,16,2",,,,,,,,,,,
18,5,1,4,2,,"18,5,1,4,2",,,,,,,,,,,
19,5,3,16,4,,"19,5,3,16,4",,,,,,,,,,,
20,5,3,16,4,,"20,5,3,16,4",,,,,,,,,,,
21,5,2,16,3,,"21,5,2,16,3",,,,,,,,,,,
22,3,3,16,4,,"22,3,3,16,4",,,,,,,,,,,
23,5,3,4,5,,"23,5,3,4,5",,,,,,,,,,,
24,2,2,8,1,,"24,2,2,8,1",,,,,,,,,,,
25,5,2,16,4,,"25,5,2,16,4",,,,,,,,,,,
26,1,2,4,2,,"26,1,2,4,2",,,,,,,,,,,
27,5,5,8,1,,"27,5,5,8,1",,,,,,,,,,,
28,1,3,16,5,,"28,1,3,16,5",,,,,,,,,,,
29,5,1,4,1,,"29,5,1,4,1",,,,,,,,,,,
30,5,5,4,4,,"30,5,5,4,4",,,,,,,,,,,
31,2,3,8,2,,"31,2,3,8,2",,,,,,,,,,,
32,3,3,8,1,,"32,3,3,8,1",,,,,,,,,,,
33,2,1,16,2,,"33,2,1,16,2",,,,,,,,,,,
34,5,1,16,3,,"34,5,1,16,3",,,,,,,,,,,
35,1,2,4,2,,"35,1,2,4,2",,,,,,,,,,,
36,3,3,4,3,,"36,3,3,4,3",,,,,,,,,,,
37,1,4,4,3,,"37,1,4,4,3",,,,,,,,,,,
38,4,1,4,2,,"38,4,1,4,2",,,,,,,,,,,
39,4,3,8,5,,"39,4,3,8,5",,,,,,,,,,,
40,1,5,16,4,,"40,1,5,16,4",,,,,,,,,,,
41,5,5,8,5,,"41,5,5,8,5",,,,,,,,,,,
42,1,1,8,3,,"42,1,1,8,3",,,,,,,,,,,
43,4,5,8,1,,"43,4,5,8,1",,,,,,,,,,,
44,2,2,16,2,,"44,2,2,16,2",,,,,,,,,,,
45,2,3,8,1,,"45,2,3,8,1",,,,,,,,,,,
46,2,5,16,4,,"46,2,5,16,4",,,,,,,,,,,
47,3,3,4,4,,"47,3,3,4,4",,,,,,,,,,,
